Admin Status,VPN Access ID,Alive,Site Id,Nickname,Site Name,Region,Product,Bandwidth
234,1269,Up,80225698,13843,OSLOFJORDMAT AS - 7080003530585 Kiwi 460 Hoffsveien ENGEBRETS VEI 5 0275 OSLO 0275 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
235,1270,Up,80225699,31,NG MENY BUSKERUD AS - 7080000909261 MENY Sandsværveien SANDSVÆRVEIEN 164 3615 KONGSBERG 3615 KONGSBERG,KONGSBERG,NC MANAGED VPN ACCESS,100000
236,1271,Up,80225133,3321,LARVIK DAGLIGVARE AS - 7080001007157 MENY Øya Larvik TJØLLINGVEIEN 45A 3262 LARVIK 3262 LARVIK,LARVIK,NC MANAGED VPN ACCESS,100000
237,1272,Up,80225149,1192,NG MENY ØST AS - 7080000974429 MENY Rasta RASTASTUBBEN 3 1476 RASTA 1476 RASTA,LØRENSKOG,NC MANAGED VPN ACCESS,100000
238,1273,Up,80225171,396,PRESTFOSS DAGLIGVARE AS - 7080001261054 SPAR Prestfoss SAGVEIEN 2 3350 PRESTFOSS 3350 PRESTFOSS,SIGDAL,NC MANAGED VPN ACCESS,100000
239,1274,Up,80225210,14062,NG KIWI AGDER AS - 7080003537201 Kiwi 743 Bergemoen BERGEMOVEIEN 45 4886 GRIMSTAD 4886 GRIMSTAD,GRIMSTAD,NC MANAGED VPN ACCESS,100000
240,1275,Up,80224764,1464,CC DAGLIGVARE AS - 7080000072965 CC Mat Lillehammer SLIPERIVEGEN 2 2609 LILLEHAMMER 2609 LILLEHAMMER,LILLEHAMMER,NC MANAGED VPN ACCESS,100000
241,1276,Up,80224765,903,CC DAGLIGVARE AS - 7080000024995 CC Mat Gjøvik JERNBANESVINGEN 6 2821 GJØVIK 2821 GJØVIK,GJØVIK,NC MANAGED VPN ACCESS,100000
242,1277,Up,80225751,1758,NG KIWI BUSKERUD AS - 7080001110529 Kiwi 420 Vitbank VEBJØRNS VEI 1E 3414 LIERSTRANDA 3414 LIERSTRANDA,LIER,NC MANAGED VPN ACCESS,100000
243,1278,Up,80224607,1959,NG MENY VESTFOLD TELEMARK AS - 7080001099312 MENY Tuven TUVENBØYGEN 2 3676 NOTODDEN 3676 NOTODDEN,NOTODDEN,NC MANAGED VPN ACCESS,100000
244,1279,Up,80225354,19063,ARNE ARNESEN AS - 7080003860071 EUROSPAR Finnsnes STRANDVEIEN 68 9300 FINNSNES 9300 FINNSNES,SENJA,NC MANAGED VPN ACCESS,100000
245,1280,Up,80224816,1167,SKALAND DAGLIGVARE AS - 7080001180461 Joker Skaland BERGSFJORDVEIEN 1784 9385 SKALAND 9385 SKALAND,SENJA,NC MANAGED VPN ACCESS,100000
246,1281,Up,80227596,17602,FREDRIKSTAD MAT AS - 7080003817549 Joker Agentgaten AGENTGATEN 1 1607 FREDRIKSTAD 1607 FREDRIKSTAD,FREDRIKSTAD,NC MANAGED VPN ACCESS,100000
247,1282,Up,80225757,12282,NG MENY ØST AS - 7080001296346 MENY Skøyen KARENSLYST ALLÉ 9 0278 OSLO 0278 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
248,1283,Up,80225750,5400,NG KIWI OSLO AKERSHUS AS - 7080001198367 Kiwi 371 Skøyen KARENSLYST ALLÉ 5 0278 OSLO 0278 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
249,1284,Up,80225722,2366,NG MENY ØST AS - 7080000886050 MENY Vollebekk BROBEKKVEIEN 52 0598 OSLO 0598 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
250,1285,Up,80225788,16282,BROTORVET MAT AS - 7080001373399 MENY Brotorvet GANGVEIEN 10 3960 STATHELLE 3960 STATHELLE,BAMBLE,NC MANAGED VPN ACCESS,100000
251,1286,Up,80225811,8240,NG KIWI VESTFOLD TELEMARK AS - 7080003319081 Kiwi 560 Porselensfabrikke PORSELENSVEGEN 10 3920 PORSGRUNN 3920 PORSGRUNN,PORSGRUNN,NC MANAGED VPN ACCESS,100000
252,1287,Up,80224744,12142,NG MENY VEST AS - 7080000011162 MENY Vestkanten LODDEFJORDVEIEN 2 5171 LODDEFJORD 5171 LODDEFJORD,BERGEN,NC MANAGED VPN ACCESS,100000
253,1288,Up,80224665,5001,NG MENY ØST AS - 7080001161163 MENY Løren LØRENVEIEN 44A 0585 OSLO 0585 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
254,1289,Up,80225519,1550,NG KIWI INNLAND AS - 7080001008826 Kiwi 048 Vinstra VINSTRAGATA 88 2640 VINSTRA 2640 VINSTRA,NORD-FRON,NC MANAGED VPN ACCESS,100000
255,1290,Up,80225592,991,NG KIWI AGDER AS - 7080001151263 Kiwi 725 Tingsaker SENTERVEIEN 22 4790 LILLESAND 4790 LILLESAND,LILLESAND,NC MANAGED VPN ACCESS,100000
256,1291,Down,80231767,4532,STUGUDAL DRIFT AS - 7080001426422 Joker Stugudal STUGUDALSVEGEN 2031 7590 TYDAL 7590 TYDAL,TYDAL,NC MANAGED VPN ACCESS,100000
257,1292,Up,80225590,4521,SKJEBSTAD MAT AS - 7080001368456 Joker Skjebstad VALLEVEIEN 9A 4513 MANDAL 4513 MANDAL,LINDESNES,NC MANAGED VPN ACCESS,100000
258,1293,Up,80225012,11220,NG MENY VEST AS - 7080003445445 MENY Sartor BILDØYVEGEN 11A 5353 STRAUME 5353 STRAUME,ØYGARDEN,NC MANAGED VPN ACCESS,100000
259,1294,Up,80225728,4243,SANDAL KOLONIAL AS - 7080001025816 Kiwi 678 Sandal REKTOR OLDENS GATE 14 4022 STAVANGER 4022 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
260,1295,Up,80228555,16982,FINANS AS - 7080003801838 Nærbutikken Storo HANS NORDAHLS GATE 94 0485 OSLO 0485 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
261,1296,Up,80225718,5019,NG KIWI ROGALAND AS - 7080001166878 Kiwi 602 Eiganes YTRE EIGANESVEIEN 17 4022 STAVANGER 4022 STAVANGER,STAVANGER,NC MANAGED VPN ACCESS,100000
262,1297,Up,80227543,9400,NG JOKER DRIFT AS - 7080003354600 Joker Gjøvik HUNNSVEGEN 5 2821 GJØVIK 2821 GJØVIK,GJØVIK,NC MANAGED VPN ACCESS,100000
263,1298,Up,80225343,2164,NG KIWI INNLAND AS - 7080000643165 Kiwi 034 Maura VÅLAUGSVEGEN 147 2032 MAURA 2032 MAURA,NANNESTAD,NC MANAGED VPN ACCESS,100000
264,1299,Up,80230493,20343,NG KIWI BUSKERUD AS - 7080001419110 Kiwi 298 Gomsrud OVE GJEDDES VEI 110 3610 KONGSBERG 3610 KONGSBERG,KONGSBERG,NC MANAGED VPN ACCESS,100000
265,1300,Up,80225598,4941,SAGGU AS - 7080001299378 Joker Tananger URA 1 4056 TANANGER 4056 TANANGER,SOLA,NC MANAGED VPN ACCESS,100000
266,1301,Up,80224841,18463,NG MENY ØST AS - 7080001400699 MENY Nordstrand NORDSTRANDVEIEN 42 1163 OSLO 1163 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
267,1302,Up,80225786,4983,NG MENY VESTFOLD TELEMARK AS - 7080000029426 MENY Åsane HYSTADVEIEN 290 3231 SANDEFJORD 3231 SANDEFJORD,SANDEFJORD,NC MANAGED VPN ACCESS,100000
268,1303,Up,80224706,2322,NG MENY VESTFOLD TELEMARK AS - 7080001347918 MENY Nanset YTTERSØVEIEN 2 3274 LARVIK 3274 LARVIK,LARVIK,NC MANAGED VPN ACCESS,100000
269,1304,Up,80225875,99989,NORGESGRUPPEN DATA AS - 7080003514011 NG Data Testlab BEDRIFTSVEIEN 9 0950 OSLO 0950 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
270,1305,Up,80228120,24325,NYE KJELSÅS DAGLIGVARE AS - 7080004125766 Joker Frysja FRYSJAVEIEN 44C 0884 OSLO 0884 OSLO,OSLO,NC MANAGED VPN ACCESS,100000
